report_month,project_code,original_cost,expenditure,expenditure_ratio,physical_progress,previous_progress,progress_change,progress_velocity,previous_expenditure,expenditure_change,expenditure_velocity,previous_observations,months_observed,days_since_first_report,has_physical_progress,has_expenditure,has_original_cost,state,sector,ministry_final,agency_final,start_date,original_doc,future_time_delay
2025-02-01,618919,887.28,374.39,42.19524839960328,99.0,,,,,,,0,1,0,1,1,1,Andhra Pradesh,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],03/2023,,0
2025-02-01,618935,1183.7,452.04,38.188730252597786,100.0,,,,,,,0,1,0,1,1,1,"Multi-States (Haryana, Punjab)",Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],10/2022,,1
2025-12-01,618935,1183.7,450.53,38.061164146320856,99.0,100.0,-1.0,-0.0033003300330033,452.04,-1.5100000000000475,-0.0049834983498351,1,2,303,1,1,1,"Multi-States (Haryana, Punjab)",Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-02-01,618938,1013.33,546.55,53.93603268431804,100.0,,,,,,,0,1,0,1,1,1,"Multi-States (Maharashtra, Telangana)",Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],03/2022,,1
2025-12-01,618938,1013.33,546.48,53.92912476685778,89.0,100.0,-11.0,-0.0363036303630363,546.55,-0.0699999999999363,-0.00023102310231,1,2,303,1,1,1,"Multi-States (Maharashtra, Telangana)",Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-02-01,618943,861.23,18.25,2.119062271402529,100.0,,,,,,,0,1,0,1,1,1,Tamil Nadu,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-02-01,618946,1479.72,866.61,58.56580974779012,99.0,,,,,,,0,1,0,1,1,1,Jharkhand,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],03/2022,,1
2025-12-01,618946,1479.72,849.01,57.37639553429027,98.0,99.0,-1.0,-0.0033003300330033,866.61,-17.600000000000023,-0.0580858085808581,1,2,303,1,1,1,Jharkhand,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-02-01,618959,1017.99,406.31,39.9129657462254,99.0,,,,,,,0,1,0,1,1,1,Uttar Pradesh,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],08/2023,,1
2025-12-01,618959,1017.99,406.1,39.89233685989057,99.0,99.0,0.0,0.0,406.31,-0.2099999999999795,-0.0006930693069306,1,2,303,1,1,1,Uttar Pradesh,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-02-01,619063,1636.15,1204.74,73.63261314671638,100.0,,,,,,,0,1,0,1,1,1,Rajasthan,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],03/2022,,1
2025-02-01,619067,356.6,39.06,10.95344924284913,100.0,,,,,,,0,1,0,1,1,1,Gujarat,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-02-01,619070,839.0,0.65,0.0774731823599523,100.0,,,,,,,0,1,0,1,1,1,Karnataka,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-02-01,619075,639.3,0.26,0.0406694822462067,97.0,,,,,,,0,1,0,1,1,1,Odisha,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-02-01,619083,255.53,15.29,5.983641842445113,100.0,,,,,,,0,1,0,1,1,1,Tamil Nadu,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-02-01,619084,461.54,0.29,0.062833123889587,100.0,,,,,,,0,1,0,1,1,1,Tamil Nadu,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
