feature,importance
agency_final_Smart_City_Mission,0
agency_final_South_Central_Railway_(SCR)_-_I,0
agency_final_South_East_Central_Railway,0
agency_final_South_East_Central_Railway_(SECR)_-_II,0
agency_final_South_Eastern_Central_Railway,0
agency_final_South_Eastern_Coalfields_Limited_(SECL),0
agency_final_South_Eastern_Railway_-_JH,0
agency_final_South_Eastern_Railway_(SER)_-_I,0
agency_final_Southern_Railway_(SR)_-_I,0
agency_final_Southern_Railway_(SR)_-_I_duplicate_1,0
agency_final_Southern_Railway_(SR)_-_II,0
agency_final_Southern_Railways_(SR)_-_construction,0
agency_final_Steel_Authority_of_India_Limited_(SAIL),0
agency_final_Sterlite_Power,0
agency_final_THDC_India_Limited,0
agency_final_Tezpur_University,0
agency_final_UPJalNigam,0
agency_final_Uttar_Pradesh_metro_rail_corporation_(UPMRC),0
agency_final_WCL,0
agency_final_WCL_-_CIL,0
agency_final_WCR,0
agency_final_WPO_Patna,0
agency_final_WR,0
agency_final_Water_Resources_Department-MN,0
agency_final_Water_Resources-AP,0
agency_final_Water_Resources-BR,0
agency_final_Water_Resources-CT,0
agency_final_Water_Resources-KA,0
agency_final_Water_Resources-MP,0
agency_final_Water_Resources-OR,0
agency_final_Water_resource-mp,0
agency_final_West_Central_Railway_WCR_I,0
agency_final_West_Central_Railway_(WCR)_-_II,0
agency_final_Western_Coalfields_Limited_(WCL),0
agency_final_Western_Railway,0
agency_final_Western_Railway_(WR)_-_II,0
agency_final_Western_Railway_WR_-_II,0
approval_date_01_1998,0
approval_date_01_1999,0
approval_date_01_1999_(10_2002),0
approval_date_01_2004,0
approval_date_01_2006,0
approval_date_01_2006_(01_2006),0
approval_date_01_2007,0
approval_date_01_2007_(03_1998),0
approval_date_01_2008,0
approval_date_01_2009,0
approval_date_01_2009_(11_2009),0
approval_date_01_2010,0
approval_date_01_2011,0
approval_date_01_2012,0
approval_date_01_2014,0
approval_date_01_2014_(01_2014),0
approval_date_01_2014_(10_2016),0
approval_date_01_2014_(10_2017),0
approval_date_01_2014_(11_2016),0
approval_date_01_2016,0
approval_date_01_2016_(01_2023),0
approval_date_01_2016_(09_2024),0
approval_date_01_2016_(10_2017),0
approval_date_01_2016_(10_2024),0
approval_date_01_2017,0
approval_date_01_2017_(01_2017),0
approval_date_01_2017_(01_2024),0
approval_date_01_2017_(05_2017),0
approval_date_01_2017_(06_2017),0
approval_date_01_2017_(08_2017),0
approval_date_01_2018_(01_2018),0
approval_date_01_2018_(02_2018),0
approval_date_01_2018_(05_2018),0
approval_date_01_2018_(06_2018),0
approval_date_01_2018_(08_2018),0
approval_date_01_2018_(10_2020),0
approval_date_01_2018_(11_2019),0
approval_date_01_2019_(01_2019),0
approval_date_01_2019_(01_2021),0
approval_date_01_2019_(03_2019),0
approval_date_01_2019_(04_2017),0
approval_date_01_2019_(04_2023),0
approval_date_01_2019_(07_2020),0
approval_date_01_2019_(10_2021),0
approval_date_01_2019_(12_2020),0
approval_date_01_2020,0
approval_date_01_2020_(01_2020),0
approval_date_01_2020_(07_2021),0
approval_date_01_2020_(10_2021),0
approval_date_01_2021,0
approval_date_01_2021_(01_2021),0
approval_date_01_2021_(01_2022),0
approval_date_01_2021_(02_2021),0
approval_date_01_2021_(02_2022),0
approval_date_01_2021_(04_2022),0
approval_date_01_2021_(07_2021),0
approval_date_01_2021_(07_2022),0
approval_date_01_2021_(09_2022),0
approval_date_01_2021_(09_2023),0
approval_date_01_2021_(10_2022),0
approval_date_01_2021_(12_2021),0
approval_date_01_2022_(01_2022),0
approval_date_01_2022_(01_2023),0
approval_date_01_2022_(02_2023),0
approval_date_01_2022_(02_2024),0
approval_date_01_2022_(03_2023),0
approval_date_01_2022_(03_2024),0
approval_date_01_2022_(05_2023),0
approval_date_01_2022_(07_2022),0
approval_date_01_2022_(08_2022),0
approval_date_01_2022_(09_2023),0
approval_date_01_2022_(09_2024),0
approval_date_01_2022_(10_2022),0
approval_date_01_2022_(10_2023),0
approval_date_01_2022_(10_2024),0
approval_date_01_2022_(11_2022),0
approval_date_01_2022_(12_2022),0
approval_date_01_2023_(01_2023),0
approval_date_01_2023_(02_2024),0
approval_date_01_2023_(02_2025),0
approval_date_01_2023_(03_2024),0
approval_date_01_2023_(04_2023),0
approval_date_01_2023_(05_2023),0
approval_date_01_2023_(06_2024),0
approval_date_01_2023_(09_2023),0
approval_date_01_2023_(11_2023),0
approval_date_01_2023_(12_2023),0
approval_date_01_2024_(01_2024),0
approval_date_01_2024_(01_2025),0
approval_date_01_2024_(05_2024),0
approval_date_01_2024_(07_2024),0
approval_date_01_2024_(09_2024),0
approval_date_01_2025,0
approval_date_01_2025_(01_2025),0
approval_date_01_2025_(02_2025),0
approval_date_01_2026,0
approval_date_02_2008,0
approval_date_02_2008_(01_2012),0
approval_date_02_2008_(03_2013),0
approval_date_02_2009,0
approval_date_02_2010,0
approval_date_02_2010_(04_2018),0
approval_date_02_2011,0
approval_date_02_2011_(02_2011),0
approval_date_02_2011_(03_2023),0
approval_date_02_2012,0
approval_date_02_2012_(02_2012),0
approval_date_02_2013,0
approval_date_02_2013_(03_2013),0
approval_date_02_2014,0
approval_date_02_2014_(02_2016),0
approval_date_02_2015,0
approval_date_02_2015_(02_2015),0
approval_date_02_2015_(03_2023),0
approval_date_02_2015_(10_2024),0
approval_date_02_2016,0
approval_date_02_2016_(04_2018),0
approval_date_02_2016_(05_2016),0
approval_date_02_2016_(06_2016),0
approval_date_02_2017,0
approval_date_02_2017_(02_2017),0
approval_date_02_2017_(03_2018),0
approval_date_02_2017_(06_2017),0
approval_date_02_2017_(07_2018),0
approval_date_02_2017_(08_2017),0
approval_date_02_2017_(09_2017),0
approval_date_02_2017_(09_2022),0
approval_date_02_2017_(10_2020),0
approval_date_02_2017_(12_2018),0
approval_date_02_2017_(12_2019),0
approval_date_02_2018_(02_2018),0
approval_date_02_2018_(02_2021),0
approval_date_02_2018_(04_2019),0
approval_date_02_2018_(05_2018),0
approval_date_02_2018_(05_2022),0
approval_date_02_2018_(06_2018),0
approval_date_02_2018_(06_2022),0
approval_date_02_2018_(11_2019),0
approval_date_02_2018_(12_2023),0
approval_date_02_2019_(01_2022),0
approval_date_02_2019_(02_2019),0
approval_date_02_2019_(02_2020),0
approval_date_02_2019_(03_2021),0
approval_date_02_2019_(09_2019),0
approval_date_02_2019_(10_2021),0
approval_date_02_2020,0
approval_date_02_2020_(02_2020),0
approval_date_02_2020_(03_2021),0
approval_date_02_2020_(05_2022),0
approval_date_02_2020_(07_2020),0
approval_date_02_2020_(08_2021),0
approval_date_02_2020_(09_2020),0
approval_date_02_2020_(09_2024),0
approval_date_02_2021_(01_2022),0
approval_date_02_2021_(01_2023),0
approval_date_02_2021_(02_2021),0
approval_date_02_2021_(03_2021),0
approval_date_02_2021_(03_2022),0
approval_date_02_2021_(04_2023),0
approval_date_02_2021_(06_2021),0
approval_date_02_2021_(06_2023),0
approval_date_02_2021_(07_2022),0
approval_date_02_2021_(08_2022),0
